Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
São Paulo ;30.897.075;19.141.826;24;696.391;192.846;2.124.725;1.332.743;566;57.805;125.866;4.972.416;1.016.096;168.197;86;402.601;276.301;1.914;2.79;55;11.702;6.06;366.065;sudeste;fevereiro;2021
Paraná;8.116.025;4.710.039;3;283.038;100.776;722.996;272.367;66;9.181;24.638;1.239.092;322.399;46.996;63;151.91;144.855;597.0;1.489;14;2.122;2.22;81.164;sul;fevereiro;2021
Rio Grande do Sul ;7.525.249;4.543.710;2;240.379;65.938;590.240;300.597;116;6.974;22.092;1.129.329;201.985;42.48;47;201.198;81.626;436.0;6.132;38;8.526;1.234;82.17;sul;fevereiro;2021
Santa Catarina;5.609.604;3.161.234;  -   ;160.512;60.635;444.281;222.169;32;2.405;13.144;921.382;292.858;21.155;14;129.851;81.954;683.0;3.86;14;3.438;884.0;89.099;sul;fevereiro;2021
Distrito Federal;1.940.261;1.358.906;  -   ;25.446;3.897;139.149;94.846;17;1.295;6.324;207.576;21.977;13.26;3;25.821;4.917;712.0;240.0;6;592.0;645.0;34.632;centro-oeste;fevereiro;2021
Goiás;4.227.538;1.982.635;  -   ;117.459;35.221;394.668;108.970;56;29.596;10.645;927.439;301.525;24.239;  -   ;201.013;56.129;140.0;334.0;4;258.0;1.102;36.105;centro-oeste;fevereiro;2021
Mato Grosso;2.340.430;809.651;  -   ;80.74;41.506;256.902;51.650;3;7.619;4.11;670.753;259.451;13.11;3;49.508;73.351;136.0;220.0;6;133.0;1.021;20.557;centro-oeste;fevereiro;2021
Mato Grosso do Sul;1.716.771;792.238;10;56.618;20.458;177.752;44.877;33;3.801;4.258;391.710;121.056;10.411;3;40.397;35.225;173.0;262.0;4;250.0;552.0;16.683;centro-oeste;fevereiro;2021
Acre ;309.054;96.856;  -   ;7.836;1.174;29.475;4.552;10;643.0;414.0;129.221;29.873;1.357;  -   ;4.034;1.833;60.0;31.0;  -   ;4.0;173.0;1.508;norte;março;2021
Amapá ;217.477;91.671;  -   ;4.384;419.0;24.438;5.041;14;952.0;485.0;70.070;14.128;1.438;  -   ;1.515;1.325;50.0;19.0;  -   ;9.0;407.0;1.112;norte;março;2021
Amazonas;978.349;431.531;  -   ;20.933;3.977;94.903;28.143;37;2.066;3.621;290.495;67.100;9.856;  -   ;3.778;13.887;7.0;81.0;  -   ;86.0;1.889;5.959;norte;março;2021
Pará ;2.253.925;674.706;  -   ;66.093;10.774;174.420;44.798;94;5.924;7.18;963.385;218.717;20.16;2;29.518;19.032;166.0;150.0;1;132.0;1.962;16.711;norte;março;2021
Rondônia ;1.079.266;313.432;  -   ;31.925;7.903;108.323;14.642;8;2.981;1.431;419.771;133.474;6.723;3;18.448;14.391;40.0;64.0;1;47.0;349.0;5.31;norte;março;2021
Roraima;241.772;83.913;  -   ;5.617;1.141;31.155;5.450;  -   ;984.0;749.0;84.219;21.500;1.296;  -   ;2.111;1.987;4.0;21.0;  -   ;4.0;73.0;1.548;norte;março;2021
Tocantins;761.780;238.473;  -   ;23.298;6.66;74.827;12.427;2;1.924;1.703;248.225;103.154;6.209;  -   ;29.739;9.683;112.0;58.0;  -   ;41.0;151.0;5.094;norte;março;2021
Alagoas;943.442;393.799;  -   ;22.977;2.869;61.488;24.275;24;12.165;7.141;326.768;45.998;8.79;1;20.937;7.686;49.0;61.0;  -   ;19.0;264.0;8.131;nordeste;março;2021
Bahia;4.549.427;1.993.670;3;126.31;25.088;406.172;131.033;183;18.217;31.188;1.405.466;222.625;42.614;4;63.103;41.241;667.0;339.0;3;269.0;2.668;38.564;nordeste;março;2021
Ceará;3.414.360;1.240.293;  -   ;76.572;10.141;213.552;66.272;111;9.662;12.974;1.478.319;187.378;18.635;8;41.703;15.191;333.0;206.0;  -   ;235.0;1.556;41.219;nordeste;março;2021
Maranhão ;1.870.512;484.744;  -   ;44.162;6.072;136.809;26.750;66;10.621;5.414;927.602;179.580;10.095;  -   ;14.97;10.288;39.0;69.0;  -   ;68.0;449.0;12.714;nordeste;março;2021
Paraíba ;1.425.350;582.439;  -   ;30.106;3.157;93.018;30.788;15;31.35;5.235;534.032;75.416;8.069;1;10.509;5.25;28.0;81.0;  -   ;43.0;457.0;15.356;nordeste;março;2021
Pernambuco ;3.247.710;1.415.544;  -   ;94.985;13.483;202.113;98.040;83;41.901;20.014;1.118.535;124.584;21.037;2;46.337;21.852;142.0;142.0;  -   ;316.0;1.576;27.024;nordeste;março;2021
Piauí;1.303.240;398.036;  -   ;32.513;3.408;101.132;18.897;31;6.625;4.525;596.707;107.672;8.612;  -   ;8.589;5.471;200.0;55.0;  -   ;81.0;1.211;9.475;nordeste;março;2021
Rio Grande do Norte ;1.401.472;600.194;  -   ;38.406;4.138;97.655;33.474;18;28.302;5.511;468.491;68.634;7.705;1;17.726;8.487;57.0;143.0;  -   ;135.0;573.0;21.822;nordeste;março;2021
Sergipe;844.943;354.359;  -   ;22.411;2.908;48.158;18.356;20;27.897;3.59;275.216;50.917;7.815;  -   ;22.24;3.917;42.0;90.0;1;141.0;478.0;6.387;nordeste;março;2021
Espírito Santo;2.094.298;1.026.515;  -   ;77.087;19.988;188.130;64.705;12;1.609;8.866;476.223;120.924;15.478;2;36.866;27.896;132.0;423.0;15;2.326;2.2;24.901;sudeste;março;2021
Minas Gerais ;12.137.173;6.626.233;  -   ;353.599;84.965;1.063.930;374.642;24;51.168;49.848;2.689.908;322.401;83.768;12;223.7;102.887;1.422;1.692;48;2.354;6.197;98.375;sudeste;março;2021
Rio de Janeiro;7.146.364;4.744.432;  -   ;146.839;18.1;375.094;325.511;57;44.388;40.384;1.031.876;189.719;43.672;13;81.721;22.466;203.0;629.0;1;708.0;2.576;77.975;sudeste;março;2021
São Paulo ;30.958.974;19.170.510;24;697.363;194.261;2.131.132;1.336.054;566;57.896;125.953;4.981.672;1.020.357;168.309;87;405.107;277.947;1.914;2.809;55;11.725;6.081;369.152;sudeste;março;2021
Paraná;8.137.628;4.720.001;3;283.657;101.479;725.921;273.677;66;9.208;24.69;1.241.612;323.265;47.047;63;152.749;145.844;597.0;1.526;14;2.125;2.224;81.86;sul;março;2021
Rio Grande do Sul ;7.539.234;4.550.047;2;240.936;66.316;592.043;301.417;116;6.995;22.088;1.130.926;202.404;42.465;47;201.988;82.077;436.0;6.241;38;8.547;1.237;82.868;sul;março;2021
Santa Catarina;5.626.243;3.168.177;  -   ;160.885;61.164;446.014;223.367;32;2.421;13.214;923.477;293.524;21.201;14;130.933;82.697;683.0;3.912;14;3.445;889.0;90.18;sul;março;2021
Distrito Federal;1.946.455;1.362.189;  -   ;25.529;3.909;140.081;95.145;17;1.306;6.331;208.576;22.157;13.235;3;25.888;4.95;712.0;246.0;6;592.0;648.0;34.935;centro-oeste;março;2021
Goiás;4.237.086;1.986.140;  -   ;117.578;35.4;396.286;109.472;56;29.671;10.652;928.763;302.122;24.266;  -   ;201.833;56.456;140.0;339.0;4;258.0;1.103;36.547;centro-oeste;março;2021
Mato Grosso;2.348.848;812.542;  -   ;81.014;41.807;258.210;51.978;3;7.62;4.123;672.068;260.150;13.126;3;50.045;73.884;136.0;223.0;6;133.0;1.025;20.752;centro-oeste;março;2021
Mato Grosso do Sul;1.720.256;793.606;10;56.735;20.601;178.266;44.989;33;3.803;4.267;392.123;121.292;10.437;3;40.635;35.453;173.0;262.0;4;251.0;552.0;16.761;centro-oeste;março;2021
Acre ;310.206;97.103;  -   ;7.896;1.187;29.631;4.555;10;650.0;415.0;129.719;29.980;1.361;  -   ;4.058;1.856;60.0;32.0;  -   ;4.0;173.0;1.516;norte;abril;2021
Amapá ;218.071;91.851;  -   ;4.399;425.0;24.540;5.045;14;951.0;485.0;70.297;14.175;1.445;  -   ;1.515;1.319;50.0;19.0;  -   ;9.0;409.0;1.123;norte;abril;2021
Amazonas;982.113;432.729;  -   ;20.982;4.005;95.172;28.193;37;2.068;3.627;292.037;67.434;9.941;  -   ;3.833;13.972;7.0;81.0;  -   ;86.0;1.9;6.009;norte;abril;2021
Pará ;2.264.448;677.817;  -   ;66.291;10.942;175.881;45.006;94;5.926;7.189;967.016;219.680;20.217;2;29.759;19.245;166.0;150.0;1;133.0;1.969;16.964;norte;abril;2021
Rondônia ;1.083.536;314.559;  -   ;31.961;7.957;109.210;14.708;8;2.99;1.424;421.104;133.856;6.728;3;18.629;14.486;40.0;63.0;2;47.0;349.0;5.412;norte;abril;2021
Roraima;242.564;84.259;  -   ;5.64;1.147;31.294;5.466;  -   ;984.0;751.0;84.364;21.531;1.303;  -   ;2.153;2.009;4.0;21.0;  -   ;4.0;73.0;1.561;norte;abril;2021
Tocantins;764.478;239.261;  -   ;23.335;6.728;75.295;12.513;2;1.924;1.701;248.857;103.379;6.212;  -   ;29.903;9.812;112.0;59.0;  -   ;40.0;151.0;5.194;norte;abril;2021
Alagoas;947.164;395.061;  -   ;23.084;2.89;61.725;24.320;24;12.258;7.151;328.216;46.205;8.806;1;21.081;7.699;49.0;61.0;  -   ;19.0;265.0;8.249;nordeste;abril;2021
Bahia;4.565.612;1.999.467;3;126.652;25.328;408.087;131.387;183;18.302;31.256;1.410.260;223.820;42.7;4;63.612;41.566;667.0;341.0;3;267.0;2.671;39.036;nordeste;abril;2021
Ceará;3.426.438;1.244.346;  -   ;76.748;10.251;214.746;66.494;111;9.718;13.0;1.482.722;188.245;18.65;7;41.921;15.358;333.0;211.0;  -   ;235.0;1.563;41.779;nordeste;abril;2021
Maranhão ;1.877.980;486.747;  -   ;44.236;6.113;137.554;26.882;66;10.635;5.42;930.815;180.336;10.13;  -   ;15.143;10.412;39.0;69.0;  -   ;70.0;450.0;12.863;nordeste;abril;2021
Paraíba ;1.431.928;584.853;  -   ;30.205;3.191;93.602;31.034;15;31.467;5.249;536.237;75.747;8.091;1;10.629;5.275;28.0;81.0;  -   ;43.0;460.0;15.72;nordeste;abril;2021
Pernambuco ;3.260.395;1.420.333;  -   ;95.151;13.566;203.255;98.391;83;42.072;20.036;1.122.819;125.278;21.105;2;46.7;21.936;142.0;141.0;  -   ;316.0;1.582;27.487;nordeste;abril;2021
Piauí;1.308.672;399.628;  -   ;32.644;3.456;101.814;18.951;31;6.627;4.54;598.792;108.063;8.673;  -   ;8.708;5.54;200.0;55.0;  -   ;81.0;1.211;9.658;nordeste;abril;2021
Rio Grande do Norte ;1.405.485;601.507;  -   ;38.545;4.155;98.084;33.585;18;28.339;5.518;469.754;68.917;7.705;1;17.843;8.512;57.0;148.0;  -   ;135.0;574.0;22.088;nordeste;abril;2021
Sergipe;847.786;355.190;  -   ;22.483;2.921;48.418;18.425;19;28.028;3.592;276.165;51.197;7.823;  -   ;22.338;3.933;42.0;90.0;1;141.0;478.0;6.502;nordeste;abril;2021
Espírito Santo;2.100.043;1.028.344;  -   ;77.182;20.006;188.957;64.949;12;1.622;8.877;477.652;121.524;15.601;2;37.034;27.942;132.0;426.0;14;2.339;2.23;25.198;sudeste;abril;2021
Minas Gerais ;12.169.116;6.638.082;  -   ;354.395;85.561;1.069.109;376.215;23;51.202;49.856;2.697.404;323.635;83.96;12;224.97;103.504;1.422;1.705;48;2.354;6.227;99.432;sudeste;abril;2021
Rio de Janeiro;7.164.879;4.752.981;  -   ;147.013;18.279;376.794;326.479;57;44.426;40.431;1.035.984;191.021;43.553;14;82.312;22.585;203.0;636.0;1;709.0;2.583;78.818;sudeste;abril;2021
São Paulo ;31.011.899;19.187.733;24;697.96;195.13;2.137.076;1.338.535;565;57.995;125.937;4.994.740;1.025.434;168.408;87;407.438;279.39;1.914;2.831;55;11.75;6.122;372.775;sudeste;abril;2021
Paraná;8.159.309;4.729.351;3;284.233;101.966;728.744;274.928;66;9.231;24.752;1.245.312;324.272;47.147;63;153.515;146.53;597.0;1.536;14;2.128;2.226;82.695;sul;abril;2021
Rio Grande do Sul ;7.553.355;4.555.650;2;241.36;66.682;594.077;302.286;116;7.015;22.101;1.133.225;202.893;42.505;47;202.722;82.407;437.0;6.3;38;8.563;1.241;83.688;sul;abril;2021
Santa Catarina;5.642.835;3.174.846;  -   ;161.217;61.596;447.889;224.433;32;2.44;13.241;925.942;294.224;21.247;14;132.097;83.159;683.0;3.98;14;3.454;890.0;91.437;sul;abril;2021
Distrito Federal;1.950.118;1.363.391;  -   ;25.57;3.92;140.607;95.327;17;1.31;6.346;209.547;22.370;13.241;3;25.945;4.984;712.0;254.0;6;592.0;655.0;35.321;centro-oeste;abril;2021
Goiás;4.252.962;1.991.407;  -   ;117.866;35.578;398.631;110.006;56;29.801;10.679;931.956;303.260;24.311;1;203.39;56.847;140.0;340.0;4;259.0;1.107;37.323;centro-oeste;abril;2021
Mato Grosso;2.355.527;814.311;  -   ;81.117;42.033;259.512;52.194;3;7.621;4.128;673.238;260.808;13.177;3;50.45;74.415;136.0;224.0;6;135.0;1.026;20.99;centro-oeste;abril;2021
Mato Grosso do Sul;1.725.872;795.550;10;56.936;20.783;179.148;45.182;33;3.806;4.271;393.059;121.720;10.468;3;40.916;35.765;173.0;264.0;4;251.0;550.0;16.98;centro-oeste;abril;2021
Acre ;311.532;97.429;  -   ;7.936;1.224;29.763;4.574;10;670.0;415.0;130.249;30.133;1.356;  -   ;4.083;1.883;60.0;31.0;  -   ;4.0;174.0;1.538;norte;maio;2021
Amapá ;218.888;92.159;  -   ;4.409;433.0;24.632;5.075;14;951.0;487.0;70.533;14.251;1.454;  -   ;1.526;1.344;50.0;19.0;  -   ;9.0;410.0;1.132;norte;maio;2021
Amazonas;985.797;433.541;  -   ;21.111;4.053;95.474;28.190;37;2.07;3.623;293.644;67.916;10.008;  -   ;3.881;14.103;7.0;81.0;  -   ;86.0;1.908;6.064;norte;maio;2021
Pará ;2.276.019;680.955;  -   ;66.534;11.071;177.258;45.207;94;5.929;7.196;971.478;220.938;20.292;2;29.998;19.387;166.0;153.0;1;138.0;1.987;17.235;norte;maio;2021
Rondônia ;1.087.346;315.581;  -   ;31.987;8.008;109.894;14.751;8;2.994;1.428;422.262;134.289;6.738;3;18.826;14.568;40.0;65.0;2;48.0;349.0;5.505;norte;maio;2021
Roraima;243.496;84.620;  -   ;5.665;1.157;31.419;5.480;  -   ;984.0;751.0;84.629;21.591;1.304;  -   ;2.181;2.033;4.0;21.0;  -   ;4.0;73.0;1.58;norte;maio;2021
Tocantins;767.956;240.309;  -   ;23.365;6.878;75.804;12.583;2;1.924;1.699;249.629;103.726;6.223;  -   ;30.112;10.015;112.0;60.0;  -   ;40.0;150.0;5.325;norte;maio;2021
Alagoas;951.726;396.490;  -   ;23.165;2.907;61.944;24.406;24;12.379;7.17;330.165;46.515;8.844;1;21.198;7.722;49.0;62.0;  -   ;19.0;269.0;8.397;nordeste;maio;2021
Bahia;4.582.333;2.005.229;3;127.043;25.522;409.747;131.799;183;18.373;31.334;1.415.581;225.186;42.892;4;64.123;41.83;667.0;346.0;3;268.0;2.679;39.521;nordeste;maio;2021
Ceará;3.440.056;1.248.621;  -   ;76.95;10.386;216.097;66.733;111;9.754;13.013;1.487.976;189.222;18.677;7;42.217;15.55;333.0;212.0;  -   ;236.0;1.568;42.393;nordeste;maio;2021
Maranhão ;1.886.205;488.803;  -   ;44.42;6.22;138.376;27.030;66;10.656;5.429;934.174;181.284;10.204;  -   ;15.32;10.517;39.0;70.0;  -   ;70.0;453.0;13.074;nordeste;maio;2021
Paraíba ;1.437.334;586.540;  -   ;30.255;3.206;93.946;31.146;15;31.606;5.279;538.411;76.134;8.109;1;10.748;5.282;28.0;82.0;  -   ;43.0;461.0;16.042;nordeste;maio;2021
Pernambuco ;3.270.552;1.423.015;  -   ;95.32;13.641;204.013;98.498;83;42.251;20.061;1.127.391;126.141;21.113;2;46.995;21.992;142.0;142.0;  -   ;318.0;1.584;27.85;nordeste;maio;2021
Piauí;1.314.498;401.297;  -   ;32.785;3.506;102.466;19.017;31;6.628;4.559;601.147;108.487;8.727;  -   ;8.815;5.624;200.0;56.0;  -   ;82.0;1.211;9.86;nordeste;maio;2021
Rio Grande do Norte ;1.410.593;603.232;  -   ;38.707;4.173;98.536;33.784;18;28.388;5.53;471.335;69.298;7.712;1;17.983;8.568;57.0;152.0;  -   ;135.0;574.0;22.41;nordeste;maio;2021
Sergipe;850.817;355.878;  -   ;22.533;2.933;48.602;18.548;19;28.146;3.614;277.363;51.534;7.828;  -   ;22.456;3.989;42.0;89.0;1;141.0;480.0;6.621;nordeste;maio;2021
Espírito Santo;2.107.232;1.030.838;  -   ;77.302;20.168;189.670;65.198;12;1.649;8.886;479.439;122.273;15.757;2;37.286;28.035;132.0;429.0;14;2.343;2.247;25.552;sudeste;maio;2021
Minas Gerais ;12.211.504;6.657.655;  -   ;355.217;86.171;1.073.544;378.409;23;51.229;49.889;2.706.678;325.299;84.128;12;226.61;104.062;1.422;1.72;48;2.363;6.241;100.784;sudeste;maio;2021
Rio de Janeiro;7.185.692;4.761.920;  -   ;147.227;18.382;378.319;327.539;57;44.495;40.452;1.041.166;192.701;43.406;14;83.003;22.734;203.0;651.0;1;710.0;2.59;80.122;sudeste;maio;2021
São Paulo ;31.071.695;19.206.977;24;698.518;196.181;2.142.511;1.341.609;563;58.09;125.902;5.010.277;1.031.542;168.609;87;409.964;281.169;1.914;2.892;55;11.79;6.172;376.849;sudeste;maio;2021
Paraná;8.180.726;4.738.378;3;284.798;102.46;731.177;276.208;66;9.248;24.799;1.249.118;325.439;47.226;64;154.396;147.139;597.0;1.58;14;2.127;2.229;83.66;sul;maio;2021
Rio Grande do Sul ;7.569.807;4.562.607;2;241.843;67.197;596.153;303.441;115;7.041;22.091;1.135.718;203.439;42.501;47;203.469;82.721;437.0;6.433;38;8.578;1.245;84.691;sul;maio;2021
Santa Catarina;5.660.736;3.182.111;  -   ;161.584;62.195;449.512;225.598;32;2.452;13.301;928.514;294.962;21.333;14;133.193;83.908;684.0;4.067;14;3.464;896.0;92.902;sul;maio;2021
Distrito Federal;1.952.891;1.364.133;  -   ;25.62;3.947;140.863;95.446;17;1.312;6.355;210.421;22.532;13.321;3;26.008;4.973;712.0;257.0;6;590.0;658.0;35.717;centro-oeste;maio;2021
Goiás;4.268.192;1.996.561;  -   ;118.158;35.827;400.336;110.495;56;29.908;10.712;934.884;304.456;24.471;1;204.97;57.274;140.0;343.0;4;261.0;1.106;38.229;centro-oeste;maio;2021
Mato Grosso;2.367.400;817.775;  -   ;81.558;42.445;261.207;52.575;3;7.622;4.144;675.589;262.042;13.253;3;51.085;75.176;136.0;226.0;6;138.0;1.027;21.39;centro-oeste;maio;2021
Mato Grosso do Sul;1.731.135;797.337;10;57.114;20.996;179.750;45.320;33;3.808;4.288;394.062;122.196;10.493;3;41.222;35.99;173.0;268.0;4;252.0;555.0;17.261;centro-oeste;maio;2021
Acre ;312.712;97.733;  -   ;7.949;1.224;29.884;4.607;10;688.0;418.0;130.755;30.288;1.35;  -   ;4.104;1.877;60.0;31.0;  -   ;4.0;174.0;1.556;norte;junho;2021
Amapá ;219.755;92.495;  -   ;4.419;438.0;24.756;5.095;14;951.0;492.0;70.781;14.332;1.457;  -   ;1.533;1.353;50.0;19.0;  -   ;9.0;410.0;1.151;norte;junho;2021
Amazonas;989.561;434.224;  -   ;21.18;4.097;95.792;28.216;37;2.07;3.634;295.404;68.467;10.088;  -   ;3.921;14.2;7.0;81.0;  -   ;86.0;1.919;6.138;norte;junho;2021
Pará ;2.287.064;683.611;  -   ;66.798;11.217;178.489;45.490;94;5.934;7.224;975.791;222.273;20.333;2;30.291;19.569;166.0;155.0;1;138.0;1.995;17.493;norte;junho;2021
Rondônia ;1.091.127;316.468;  -   ;32.03;8.053;110.516;14.817;8;3.001;1.44;423.360;134.826;6.775;3;19.056;14.677;40.0;65.0;2;48.0;350.0;5.592;norte;junho;2021
Roraima;244.521;84.982;  -   ;5.69;1.166;31.581;5.494;  -   ;984.0;752.0;84.892;21.713;1.299;  -   ;2.213;2.052;4.0;21.0;  -   ;4.0;74.0;1.6;norte;junho;2021
Tocantins;771.667;241.403;  -   ;23.431;6.979;76.287;12.737;2;1.925;1.703;250.374;104.129;6.211;  -   ;30.433;10.231;112.0;60.0;  -   ;42.0;150.0;5.458;norte;junho;2021
Alagoas;955.793;397.516;  -   ;23.255;2.918;62.173;24.541;24;12.489;7.171;332.059;46.788;8.862;1;21.345;7.729;49.0;63.0;  -   ;19.0;269.0;8.522;nordeste;junho;2021
Bahia;4.598.052;2.010.424;3;127.402;25.687;411.536;132.390;183;18.468;31.386;1.420.290;226.568;43.004;4;64.654;42.081;667.0;354.0;3;270.0;2.687;39.991;nordeste;junho;2021
Ceará;3.452.166;1.251.971;  -   ;77.083;10.483;217.243;66.994;111;9.8;13.019;1.493.098;190.275;18.692;7;42.499;15.678;333.0;216.0;  -   ;236.0;1.572;42.856;nordeste;junho;2021
Maranhão ;1.894.475;490.748;  -   ;44.573;6.297;139.329;27.166;66;10.675;5.447;937.600;182.252;10.227;1;15.477;10.671;39.0;70.0;  -   ;70.0;458.0;13.309;nordeste;junho;2021
Paraíba ;1.442.460;588.002;  -   ;30.309;3.234;94.322;31.176;15;31.75;5.283;540.685;76.523;8.116;1;10.854;5.296;28.0;83.0;  -   ;43.0;462.0;16.278;nordeste;junho;2021
Pernambuco ;3.280.113;1.425.058;  -   ;95.367;13.695;204.647;98.743;83;42.441;20.085;1.132.151;126.962;21.188;2;47.283;22.059;142.0;147.0;  -   ;318.0;1.586;28.156;nordeste;junho;2021
Piauí;1.319.189;402.454;  -   ;32.971;3.573;102.893;19.119;31;6.629;4.575;602.982;108.930;8.8;  -   ;8.929;5.697;200.0;56.0;  -   ;82.0;1.216;10.052;nordeste;junho;2021
Rio Grande do Norte ;1.415.263;604.740;  -   ;38.938;4.183;98.944;33.973;18;28.443;5.534;472.830;69.602;7.735;1;18.124;8.592;57.0;159.0;  -   ;135.0;574.0;22.681;nordeste;junho;2021
Sergipe;853.556;356.384;  -   ;22.583;2.939;48.844;18.651;19;28.271;3.613;278.458;51.937;7.824;  -   ;22.57;3.999;42.0;90.0;1;141.0;482.0;6.708;nordeste;junho;2021
Espírito Santo;2.113.712;1.032.930;  -   ;77.455;20.302;190.468;65.461;12;1.688;8.908;480.891;122.991;15.859;2;37.514;28.104;132.0;437.0;14;2.348;2.261;25.935;sudeste;junho;2021
Minas Gerais ;12.256.648;6.677.308;  -   ;356.207;86.922;1.079.734;381.983;23;51.265;49.946;2.714.852;327.002;84.324;12;228.167;104.758;1.422;1.729;48;2.368;6.262;102.316;sudeste;junho;2021
Rio de Janeiro;7.204.015;4.769.614;  -   ;147.255;18.52;379.583;328.561;57;44.565;40.473;1.045.747;194.343;43.362;14;83.628;22.855;203.0;667.0;1;714.0;2.61;81.243;sudeste;junho;2021
São Paulo ;31.129.492;19.223.122;24;699.078;197.261;2.148.167;1.345.415;563;58.198;125.918;5.025.222;1.038.177;168.769;87;412.492;283.065;1.915;2.944;55;11.843;6.201;380.976;sudeste;junho;2021
Paraná;8.203.677;4.747.797;3;285.575;102.929;734.190;277.380;66;9.281;24.83;1.253.023;326.688;47.288;65;155.381;147.893;597.0;1.61;14;2.127;2.235;84.705;sul;junho;2021
Rio Grande do Sul ;7.586.291;4.569.046;2;242.422;67.724;598.581;304.740;114;7.075;22.086;1.137.984;203.983;42.534;46;204.307;83.109;438.0;6.511;38;8.596;1.245;85.71;sul;junho;2021
Santa Catarina;5.676.188;3.187.514;  -   ;161.949;62.592;451.212;226.904;32;2.464;13.356;930.622;295.811;21.432;14;134.248;84.616;684.0;4.145;14;3.483;902.0;94.194;sul;junho;2021
Distrito Federal;1.956.203;1.365.064;  -   ;25.663;3.958;141.327;95.659;17;1.315;6.355;211.390;22.742;13.349;3;26.042;4.979;712.0;270.0;6;591.0;658.0;36.103;centro-oeste;junho;2021
Goiás;4.283.633;2.001.240;  -   ;118.558;36.095;402.695;111.274;55;30.032;10.729;937.583;305.724;24.576;2;206.639;57.62;140.0;351.0;4;260.0;1.105;38.951;centro-oeste;junho;2021
Mato Grosso;2.379.057;821.142;  -   ;82.062;42.772;263.004;52.983;3;7.623;4.151;677.810;263.362;13.348;3;51.732;75.737;136.0;235.0;6;140.0;1.032;21.776;centro-oeste;junho;2021
Mato Grosso do Sul;1.735.417;798.652;10;57.291;21.111;180.386;45.494;33;3.809;4.296;394.758;122.565;10.516;3;41.457;36.241;173.0;270.0;4;254.0;556.0;17.538;centro-oeste;junho;2021
Acre ;313.995;98.009;  -   ;7.972;1.222;29.991;4.628;10;709.0;419.0;131.353;30.462;1.352;  -   ;4.145;1.888;60.0;31.0;  -   ;4.0;174.0;1.566;norte;julho;2021
Amapá ;220.592;92.728;  -   ;4.441;446.0;24.941;5.104;14;951.0;492.0;71.017;14.422;1.458;  -   ;1.547;1.371;50.0;19.0;  -   ;9.0;410.0;1.172;norte;julho;2021
Amazonas;993.023;434.710;  -   ;21.257;4.148;96.100;28.245;37;2.073;3.636;297.140;68.944;10.122;  -   ;3.972;14.304;7.0;83.0;  -   ;86.0;1.941;6.218;norte;julho;2021
Pará ;2.298.863;686.175;  -   ;66.988;11.364;179.968;45.758;94;5.939;7.223;980.263;223.749;20.526;2;30.646;19.789;166.0;156.0;1;138.0;2.01;17.908;norte;julho;2021
Rondônia ;1.095.348;317.380;  -   ;32.086;8.111;111.364;14.890;8;3.012;1.446;424.567;135.414;6.79;3;19.302;14.732;40.0;66.0;2;48.0;352.0;5.735;norte;julho;2021
Roraima;245.606;85.373;  -   ;5.713;1.187;31.744;5.521;  -   ;985.0;752.0;85.165;21.816;1.303;  -   ;2.254;2.069;4.0;21.0;  -   ;4.0;76.0;1.619;norte;julho;2021
Tocantins;775.515;242.650;  -   ;23.527;7.09;76.791;12.941;2;1.924;1.71;251.117;104.548;6.212;  -   ;30.701;10.338;112.0;60.0;  -   ;42.0;150.0;5.6;norte;julho;2021
Alagoas;960.805;398.735;  -   ;23.41;2.942;62.434;24.660;24;12.647;7.183;334.355;47.182;8.905;1;21.494;7.757;49.0;64.0;  -   ;19.0;269.0;8.675;nordeste;julho;2021
Bahia;4.615.364;2.016.253;3;127.826;25.832;413.667;132.936;183;18.613;31.517;1.425.323;228.032;43.06;4;65.264;42.296;667.0;362.0;3;272.0;2.697;40.554;nordeste;julho;2021
Ceará;3.463.680;1.255.025;  -   ;77.27;10.533;218.325;67.183;111;9.871;13.012;1.497.843;191.479;18.729;7;42.765;15.817;333.0;219.0;  -   ;237.0;1.574;43.347;nordeste;julho;2021
Maranhão ;1.903.669;492.920;  -   ;44.772;6.362;140.412;27.423;66;10.718;5.48;941.201;183.320;10.275;1;15.699;10.825;39.0;71.0;  -   ;70.0;459.0;13.556;nordeste;julho;2021
Paraíba ;1.447.812;589.525;  -   ;30.432;3.252;94.738;31.342;15;31.899;5.296;542.806;76.911;8.121;1;10.973;5.339;28.0;85.0;  -   ;44.0;465.0;16.54;nordeste;julho;2021
Pernambuco ;3.289.333;1.426.860;  -   ;95.507;13.737;205.398;99.011;83;42.605;20.108;1.136.499;127.836;21.227;2;47.588;22.148;142.0;152.0;  -   ;316.0;1.591;28.523;nordeste;julho;2021
Piauí;1.322.775;403.195;  -   ;33.033;3.595;103.226;19.154;31;6.632;4.582;604.680;109.345;8.826;  -   ;9.009;5.734;200.0;57.0;  -   ;82.0;1.218;10.176;nordeste;julho;2021
