Unidades da Federação;TOTAL;AUTOMÓVEL;BONDE;CAMINHÃO;CAMINHÃO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAFORMA;CICLOMOTOR;MICROÔNIBUS;MOTOCICLETA;MOTONETA;ÔNIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEIRA;TRATOR RODAS;TRICICLO;UTILITÁRIO;REGIÃO;MÊS;ANO
Rondônia ;834.042;235.240;  -   ;28.521;5.592;74.524;10.424;9;749.0;1.124;345.727;103.209;5.176;  -   ;10.611;10.152;40.0;31.0;1;38.0;276.0;2.598;norte;abril;2015
Roraima;182.935;59.839;  -   ;4.228;530.0;20.717;4.266;  -   ;806.0;619.0;70.499;17.604;914.0;  -   ;908.0;955.0;4.0;9.0;  -   ;2.0;59.0;976.0;norte;abril;2015
Tocantins;586.096;178.092;  -   ;21.838;4.335;54.246;9.167;3;1.753;1.557;201.182;81.842;5.012;  -   ;17.953;6.245;112.0;35.0;  -   ;36.0;93.0;2.595;norte;abril;2015
Alagoas;687.890;302.123;  -   ;20.049;2.171;46.182;17.555;28;52.0;5.888;229.740;33.43;6.606;1;13.372;5.966;49.0;39.0;  -   ;17.0;200.0;4.422;nordeste;abril;2015
Bahia;3.500.576;1.558.977;3;111.723;19.307;290.712;93.009;200;3.692;25.636;1.112.340;158.593;36.82;1;36.081;29.586;667.0;148.0;3;226.0;1.826;21.026;nordeste;abril;2015
Ceará;2.654.374;974.893;  -   ;66.169;7.331;162.908;52.153;118;709.0;10.648;1.164.977;135.09;15.247;  -   ;28.452;10.07;334.0;112.0;  -   ;231.0;1.161;23.771;nordeste;abril;2015
Maranhão ;1.386.081;369.553;  -   ;36.291;3.549;95.470;19.728;84;9.239;4.353;694.650;124.944;7.661;  -   ;7.75;5.36;38.0;43.0;  -   ;61.0;310.0;6.997;nordeste;abril;2015
Paraíba ;1.061.572;447.855;  -   ;27.349;2.562;68.795;22.815;20;141.0;4.269;407.042;56.941;6.84;1;5.622;3.985;28.0;37.0;  -   ;31.0;322.0;6.917;nordeste;abril;2015
Pernambuco ;2.617.278;1.175.101;  -   ;88.986;10.829;159.666;80.071;97;1.172;17.169;910.140;92.71;18.828;1;28.352;17.881;142.0;97.0;  -   ;307.0;1.112;14.617;nordeste;abril;2015
Piauí;972.764;289.365;  -   ;25.197;2.221;68.745;13.900;35;5.88;2.974;463.876;81.823;5.852;  -   ;3.871;3.297;201.0;33.0;  -   ;75.0;927.0;4.492;nordeste;abril;2015
Rio Grande do Norte ;1.065.711;470.986;  -   ;29.671;2.798;72.530;23.880;21;705.0;4.63;375.082;50.987;6.209;1;10.156;5.497;57.0;38.0;  -   ;125.0;470.0;11.868;nordeste;abril;2015
Sergipe;636.629;287.662;  -   ;20.406;2.19;35.576;12.618;22;184.0;3.278;210.849;36.619;6.285;  -   ;13.946;2.906;42.0;62.0;1;128.0;329.0;3.526;nordeste;abril;2015
Espírito Santo;1.710.974;855.989;  -   ;68.593;17.325;142.908;49.393;17;1.122;7.485;398.722;92.361;14.623;2;22.691;23.219;132.0;177.0;18;2.096;1.231;12.87;sudeste;abril;2015
Minas Gerais ;9.574.917;5.281.562;  -   ;314.095;61.738;755.221;261.541;24;19.548;42.331;2.247.414;248.585;71.31;9;142.299;73.775;1.413;1.065;47;2.022;4.192;46.726;sudeste;abril;2015
Rio de Janeiro;6.010.416;4.096.249;  -   ;140.157;15.43;303.824;261.792;63;19.268;37.781;827.021;146.659;46.123;9;46.746;19.414;203.0;446.0;1;687.0;1.753;46.79;sudeste;abril;2015
São Paulo ;26.034.069;16.502.974;26;661.087;157.076;1.720.229;1.016.127;676;50.299;114.955;4.181.632;768.909;151.779;58;275.258;228.92;1.916;1.714;58;10.304;3.65;186.422;sudeste;abril;2015
Paraná;6.804.610;4.022.829;3;257.206;83.289;568.424;204.622;88;7.606;20.582;1.057.123;264.921;39.196;19;108.63;124.109;598.0;808.0;12;1.851;1.68;41.014;sul;abril;2015
Rio Grande do Sul ;6.300.149;3.868.458;3;216.462;53.884;444.341;210.427;178;4.597;19.752;1.002.160;174.087;38.712;38;146.133;68.541;423.0;3.966;38;7.358;904.0;39.687;sul;abril;2015
Santa Catarina;4.505.340;2.591.203;  -   ;145.425;48.202;324.602;135.854;66;1.593;11.204;801.153;249.221;18.529;11;71.405;65.107;674.0;1.649;13;2.972;599.0;35.858;sul;abril;2015
Distrito Federal;1.611.733;1.162.294;  -   ;22.802;3.191;109.616;68.649;21;1.052;5.256;166.083;16.506;11.847;1;19.182;3.7;710.0;170.0;6;583.0;434.0;19.63;centro-oeste;abril;2015
Goiás;3.442.771;1.636.121;  -   ;105.811;26.971;310.219;81.698;67;20.595;8.688;790.545;241.304;20.896;  -   ;136.82;43.803;141.0;210.0;4;227.0;722.0;17.929;centro-oeste;abril;2015
Mato Grosso;1.730.954;598.935;  -   ;64.387;27.959;178.769;33.132;3;6.815;3.213;537.722;182.376;10.526;2;26.066;49.496;136.0;99.0;2;87.0;841.0;10.388;centro-oeste;abril;2015
